Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
-0.4019,Tue Jun 05 19:25:03 +0000 2018,0.863,0.137,0.0,"'The problem with plastic is that it never goes away. It doesn't decompose. It defies nature.' 
#WorldEnvironmentDay https://t.co/Tkmj9qXzlK",1,@BBC
-0.7184,Tue Jun 05 19:02:05 +0000 2018,0.727,0.273,0.0,"#OurGirl is back and heading to Nigeria in the fight against terror. 

Our Girl | 9pm | @BBCOne |… https://t.co/epbhcujexD",2,@BBC
0.0,Tue Jun 05 18:02:06 +0000 2018,1.0,0.0,0.0,"👶🥦 If your child's a fussy eater, here are 5 tips from scientist @Dr_C_Llewellyn. https://t.co/MOhdgXa96t",3,@BBC
0.8221,Tue Jun 05 16:50:46 +0000 2018,0.719,0.0,0.281,RT @BBCTwo: Always wanted to pitch an idea to the stars of #DragonsDen? Well here’s your chance! Reply to this tweet with your best busines…,4,@BBC
-0.6486,Tue Jun 05 16:31:52 +0000 2018,0.777,0.223,0.0,"💔 Fashion designer Kate Spade, 55, has been found dead in her New York apartment.
👉 https://t.co/ku2uHiO0Nh https://t.co/sg40Mjbb12",5,@BBC
-0.1531,Tue Jun 05 16:00:22 +0000 2018,0.814,0.11,0.076,♻️🗑 These protesters want shops to take more responsibility for the overuse of plastic packaging.… https://t.co/C4YX62DYWU,6,@BBC
0.6369,Tue Jun 05 13:01:07 +0000 2018,0.84,0.0,0.16,"❤️😽 This man has vowed to be the best 'cat dad' he can be after finding random kittens under his bed. 
👉… https://t.co/fWsKzfv8s3",7,@BBC
0.6696,Tue Jun 05 12:00:22 +0000 2018,0.64,0.0,0.36,"😂 These knitted Poldark dolls are the best!
#TheGNShow https://t.co/Mpc1dWzojg",8,@BBC
0.4019,Tue Jun 05 11:12:05 +0000 2018,0.863,0.0,0.137,"RT @BBC_ARoadshow: From artists to explorers, suffragettes to swimmers #antiquesroadshow discovers the pioneering women who have help shape…",9,@BBC
0.0,Tue Jun 05 11:00:07 +0000 2018,1.0,0.0,0.0,"How does plastic actually enter our oceans? 
#WorldEnvironmentDay https://t.co/LdOt9inVFS",10,@BBC
0.0,Tue Jun 05 10:45:52 +0000 2018,1.0,0.0,0.0,RT @BBCBreakfast: Have you got yours yet? #gingeremoji https://t.co/hKwIsLspYC,11,@BBC
0.7096,Tue Jun 05 10:34:07 +0000 2018,0.763,0.0,0.237,RT @bbcthree: 17-year-old Dillon upcycles clothes to help young homeless people feel confident going to school or for job interviews. https…,12,@BBC
0.7506,Tue Jun 05 10:31:20 +0000 2018,0.758,0.0,0.242,"RT @BBCNews: ""I was disabled before it was popular.""

@LostVoiceGuy - aka Lee Ridley - is the first comedian to win Britain's Got Talent.…",13,@BBC
0.0,Tue Jun 05 10:21:33 +0000 2018,1.0,0.0,0.0,"🎨🙌 Middle-earth in colour: How Tolkien drew his fantasy universe.
👉 https://t.co/z754byqVpR https://t.co/Jr6PnQWvIU",14,@BBC
0.0,Tue Jun 05 09:34:23 +0000 2018,1.0,0.0,0.0,"It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv",15,@BBC
0.0,Tue Jun 05 08:01:03 +0000 2018,1.0,0.0,0.0,Some of Arthur C Clarke's predictions about the future were bang on... https://t.co/6M7UJv6Mmh,16,@BBC
-0.5719,Tue Jun 05 07:29:04 +0000 2018,0.654,0.346,0.0,"📎 The psychology of stealing office supplies. 
👉 https://t.co/vfXaRVYcwU https://t.co/zoPWJRXVtO",17,@BBC
0.0,Tue Jun 05 07:00:11 +0000 2018,1.0,0.0,0.0,💤 Ever wondered what your brain is up to while you're dreaming? https://t.co/2JHc0lFKbS,18,@BBC
-0.5707,Mon Jun 04 19:03:02 +0000 2018,0.822,0.178,0.0,"Versailles is back! Tonight, Madame de Montespan finds out how to hurt a former friend...  

#Versailles | 9pm |… https://t.co/5nEGyPoAp6",19,@BBC
-0.4767,Mon Jun 04 18:31:05 +0000 2018,0.829,0.171,0.0,"The story of a group of working-class women conducting a dangerous campaign for the vote.

Suffragettes with… https://t.co/RKwQbGQMdu",20,@BBC
-0.5859,Mon Jun 04 18:02:05 +0000 2018,0.769,0.231,0.0,The moment a dancing off-duty FBI agent drops his gun performing backflip and accidentally shoots man in leg. https://t.co/FIu2mCjlyP,21,@BBC
0.0,Mon Jun 04 17:01:13 +0000 2018,1.0,0.0,0.0,"📸 From #Manhattanhenge to the world's largest freshwater pearl, here are some of the most striking news photos take… https://t.co/5Tp0s3MG7n",22,@BBC
0.0,Mon Jun 04 16:01:04 +0000 2018,1.0,0.0,0.0,"🤷‍♀️😂 When @CubaGoodingJr took over @BBCBreakfast.
 https://t.co/XSPs0MOKoN",23,@BBC
-0.4215,Mon Jun 04 13:03:05 +0000 2018,0.851,0.149,0.0,"🧔 Bearded men have been taking pictures of themselves from below and it's freaking people out...
👉… https://t.co/FQ9t0swX2t",24,@BBC
0.5411,Mon Jun 04 12:34:04 +0000 2018,0.83,0.0,0.17,RT @bbcdoctorwho: Every episode of #DoctorWho since 2005 is now available to watch on @BBCiPlayer… Enjoy! https://t.co/uNWq307bei https://t…,25,@BBC
0.6369,Mon Jun 04 12:01:05 +0000 2018,0.743,0.0,0.257,"❤️ Ethan Hawke will be forever grateful to Robin Williams for helping launch his career.
#TheGNShow https://t.co/uYMvKQvuev",26,@BBC
0.0,Mon Jun 04 11:05:00 +0000 2018,1.0,0.0,0.0,"Would you describe yourself as a feminist?

#HearHer https://t.co/4UZzAu2IRO",27,@BBC
0.8774,Mon Jun 04 10:18:03 +0000 2018,0.643,0.0,0.357,"RT @BBCSpringwatch: Surely this is the only way to react to chicks fledging?! 😂 We sure are excited here at #Springwatch HQ! 

Thanks for c…",28,@BBC
0.7263,Mon Jun 04 08:00:15 +0000 2018,0.483,0.135,0.381,"💡 Brilliant idea! 

Plastic waste is being being recycled in to amazing furniture. https://t.co/cb0lSVhAFX",29,@BBC
0.0,Mon Jun 04 07:24:07 +0000 2018,1.0,0.0,0.0,"📚 Every story in the world has one of these six basic plots. 
👉 https://t.co/eoZXHpOX4q https://t.co/YC6oLjIn1O",30,@BBC
0.2006,Mon Jun 04 07:00:15 +0000 2018,0.715,0.119,0.166,📸🦊 This photographer captures foxes in their most natural of habitats - the darkness. https://t.co/bkNUknwSAC,31,@BBC
-0.296,Sun Jun 03 20:42:07 +0000 2018,0.864,0.136,0.0,RT @BBCTwo: Here's why @MrNishKumar wants The Spice Girls to stop right now. 😂 #LiveAtTheApollo https://t.co/Beqy2kfFah,32,@BBC
0.0,Sun Jun 03 20:03:08 +0000 2018,1.0,0.0,0.0,"A documentary about the trial of Jeremy Thorpe, which has remained unseen for nearly 40 years. 

The Jeremy Thorpe… https://t.co/jLEcBHG1Cx",33,@BBC
0.3818,Sun Jun 03 19:02:06 +0000 2018,0.867,0.0,0.133,"Comedian @frankieboyle is heading to Russia before the World Cup tournament begins. 

Frankie Goes to Russia | 9pm… https://t.co/moLB9EGm1Q",34,@BBC
0.0,Sun Jun 03 18:03:06 +0000 2018,1.0,0.0,0.0,"Meet the bees who make their own cologne! 🐝🇲🇽

https://t.co/wGqJoNINS2",35,@BBC
0.0,Sun Jun 03 17:04:02 +0000 2018,1.0,0.0,0.0,"🦁 Be a zoo keeper for the day
🚲 Ride a bicycle made for two 
🦈 Swim with sharks 

An eight-year-old boy has created… https://t.co/PkrSoRzoXB",36,@BBC
0.0516,Sun Jun 03 16:10:18 +0000 2018,0.818,0.086,0.095,"🦋🏰🎥 Lotte Reiniger, a forgotten pioneer of animation, was the first person to create an animated feature film in co… https://t.co/GKBkpKVFjt",37,@BBC
0.4574,Sun Jun 03 15:06:04 +0000 2018,0.572,0.0,0.428,"💍❤️ Guess that's a yes!
https://t.co/xLR4N7qtaZ",38,@BBC
0.4404,Sun Jun 03 13:03:08 +0000 2018,0.828,0.0,0.172,Cow cuddling is the new wellness trend coming to a field near you... 🐮💕 https://t.co/jEwRFBzUJe https://t.co/zUzKHQ69oU,39,@BBC
0.632,Sun Jun 03 13:00:15 +0000 2018,0.812,0.0,0.188,RT @BBCOne: This audience member made Aidan Turner his own knitted Poldark doll - and it's so cute! #TheGNShow https://t.co/94h7BfhoPk,40,@BBC
0.0,Sun Jun 03 12:03:08 +0000 2018,1.0,0.0,0.0,The one and only Jeff Goldblum reveals how to do 'the look' that every Jurassic Park actor does when they first see… https://t.co/H8dOEmsDMr,41,@BBC
0.5994,Sun Jun 03 11:03:08 +0000 2018,0.83,0.0,0.17,These beautiful black and white photographs of London remained hidden in a loft for 30 years before they were disco… https://t.co/F4PDR8kW81,42,@BBC
0.743,Sun Jun 03 10:30:00 +0000 2018,0.751,0.0,0.249,"The Queen loves the Highland pony and has set up a breeding programme to ensure they continue to survive. ❤️ 

Coun… https://t.co/S7fUN1WmK0",43,@BBC
0.8271,Sun Jun 03 10:04:05 +0000 2018,0.508,0.0,0.492,"These adorable baby hares snuggle together for warmth and comfort. 🐰💕
https://t.co/LgJsY4XuHD",44,@BBC
0.0,Sun Jun 03 08:03:02 +0000 2018,1.0,0.0,0.0,"This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa",45,@BBC
0.5719,Sun Jun 03 07:32:06 +0000 2018,0.674,0.094,0.232,"Intuition has fallen out of favour in an age of rational, analytical thinking. But should you still trust your gut?… https://t.co/pl8SydpXfy",46,@BBC
0.0,Sun Jun 03 07:04:03 +0000 2018,1.0,0.0,0.0,"Remembering the people of Bunce Island, who were sold into the British slave trade. 

https://t.co/HV5AWuWA29",47,@BBC
0.5574,Sun Jun 03 06:31:32 +0000 2018,0.695,0.076,0.228,RT @bbcweather: Today will be fine and warm with plenty of sunshine for the majority of the country apart for an isolated heavy shower. Sco…,48,@BBC
0.0,Sat Jun 02 19:10:08 +0000 2018,1.0,0.0,0.0,"Women are more likely to wait longer for a health diagnosis and to be told it’s ‘all in their heads’.
👉… https://t.co/9u3Pb6hQpT",49,@BBC
0.4215,Sat Jun 02 19:02:05 +0000 2018,0.833,0.0,0.167,"A once-in-a-lifetime conversation with Eileen Atkins, Judi Dench, Maggie Smith and Joan Plowright. ✨

Nothing Like… https://t.co/JxH075mKLm",50,@BBC
0.0,Sat Jun 02 17:29:00 +0000 2018,1.0,0.0,0.0,"Not long to go now...⚽️

#HistoryWillBeMade https://t.co/Q2BX0nK5vg",51,@BBC
0.296,Sat Jun 02 17:05:04 +0000 2018,0.779,0.086,0.135,A project to provide free sanitary products to women from low income households in Aberdeen is to be rolled out acr… https://t.co/wfdK5nWCsC,52,@BBC
-0.3612,Sat Jun 02 17:04:03 +0000 2018,0.737,0.263,0.0,🍽️🤣 When you’re too polite to complain. https://t.co/CrzNNixuaY,53,@BBC
0.0,Sat Jun 02 16:04:07 +0000 2018,1.0,0.0,0.0,🌏💫 13.8 billion years of our universe's history packed into four minutes. https://t.co/EBGmVry69j,54,@BBC
0.9337,Sat Jun 02 15:46:29 +0000 2018,0.498,0.0,0.502,RT @BBCShakespeare: Turns out even #Shakespeare acting legends love a good get together. 🎭 Tag those special friends you share everything w…,55,@BBC
-0.3412,Sat Jun 02 15:02:06 +0000 2018,0.862,0.138,0.0,"Anthony Hopkins. Emma Thompson. William Shakespeare...

👑 It really doesn't get much better than this.  
#KingLear https://t.co/wQBYFQIIlf",56,@BBC
-0.7845,Sat Jun 02 14:04:04 +0000 2018,0.723,0.277,0.0,"📱 Are health apps actually bad for your health?

'The danger is when we reduce our self-worth to a number.'
👉… https://t.co/AOWkdvf3TY",57,@BBC
0.0,Sat Jun 02 13:09:14 +0000 2018,1.0,0.0,0.0,"RT @BBCSpringwatch: BREAKING NEWS! 🚨

Our wrens have started to fledge the nest 😍 Stay up to date at https://t.co/gIA23qZAHX
#Springwatch h…",58,@BBC
-0.4767,Sat Jun 02 13:01:05 +0000 2018,0.829,0.171,0.0,"In 1966, a group of schoolchildren made some sad and uncannily accurate predictions about the future. https://t.co/gNGkpeyoZ9",59,@BBC
0.4939,Sat Jun 02 12:02:03 +0000 2018,0.849,0.0,0.151,"🤔👔 This men's T-shirt shirt is selling for £935 and it's left loads of people pretty baffled.
👉… https://t.co/yONjwKqdkz",60,@BBC
0.0,Sat Jun 02 11:06:03 +0000 2018,1.0,0.0,0.0,🦆 Swans have been borrowing items from @SteveBackshall to build their nests for the last few years.  https://t.co/d5S5PG9Ygi,61,@BBC
